"phi","dens","study","distribution"
0.297297297297297,3.1317794173382e-46,"study_0","Beta"
0.298298298298298,1.51320998638034e-46,"study_0","Beta"
0.299299299299299,7.29876537125048e-47,"study_0","Beta"
0.3003003003003,3.51432290733988e-47,"study_0","Beta"
0.301301301301301,1.68917966511667e-47,"study_0","Beta"
0.302302302302302,8.10497706325903e-48,"study_0","Beta"
0.303303303303303,3.88212328176688e-48,"study_0","Beta"
0.304304304304304,1.85621485941393e-48,"study_0","Beta"
0.305305305305305,8.8598901726459e-49,"study_0","Beta"
0.306306306306306,4.22152499198803e-49,"study_0","Beta"
0.307307307307307,2.00794154401198e-49,"study_0","Beta"
0.308308308308308,9.53395640274022e-50,"study_0","Beta"
0.309309309309309,4.51892730749492e-50,"study_0","Beta"
0.31031031031031,2.13814585641482e-50,"study_0","Beta"
0.311311311311311,1.00990085909724e-50,"study_0","Beta"
0.312312312312312,4.76166939931838e-51,"study_0","Beta"
0.313313313313313,2.24118880189815e-51,"study_0","Beta"
0.314314314314314,1.05301839878529e-51,"study_0","Beta"
0.315315315315315,4.93891293987726e-52,"study_0","Beta"
0.316316316316316,2.31240683041737e-52,"study_0","Beta"
0.317317317317317,1.08077209905045e-52,"study_0","Beta"
0.318318318318318,5.04243770549376e-53,"study_0","Beta"
0.319319319319319,2.34845911595379e-53,"study_0","Beta"
0.32032032032032,1.09184503150812e-53,"study_0","Beta"
0.321321321321321,5.06726956332241e-54,"study_0","Beta"
0.322322322322322,2.34758580676113e-54,"study_0","Beta"
0.323323323323323,1.08568250263455e-54,"study_0","Beta"
0.324324324324324,5.01207447034479e-55,"study_0","Beta"
0.325325325325325,2.3097496161951e-55,"study_0","Beta"
0.326326326326326,1.06253778839744e-55,"study_0","Beta"
0.327327327327327,4.87927526918546e-56,"study_0","Beta"
0.328328328328328,2.23664498213197e-56,"study_0","Beta"
0.329329329329329,1.02345538628484e-56,"study_0","Beta"
0.33033033033033,4.6748772500397e-57,"study_0","Beta"
0.331331331331331,2.13157311509884e-57,"study_0","Beta"
0.332332332332332,9.70193265296681e-58,"study_0","Beta"
0.333333333333333,4.40801976025567e-58,"study_0","Beta"
0.334334334334334,1.9991956754339e-58,"study_0","Beta"
0.335335335335335,9.05092131729211e-59,"study_0","Beta"
0.336336336336336,4.09030029538209e-59,"study_0","Beta"
0.337337337337337,1.84519259123808e-59,"study_0","Beta"
0.338338338338338,8.3090521409006e-60,"study_0","Beta"
0.339339339339339,3.73494053341356e-60,"study_0","Beta"
0.34034034034034,1.67585893204846e-60,"study_0","Beta"
0.341341341341341,7.50605776795567e-61,"study_0","Beta"
0.342342342342342,3.35587769079974e-61,"study_0","Beta"
0.343343343343343,1.49768060739159e-61,"study_0","Beta"
0.344344344344344,6.67191056319044e-62,"study_0","Beta"
0.345345345345345,2.96686784827116e-62,"study_0","Beta"
0.346346346346346,1.31692850359397e-62,"study_0","Beta"
0.347347347347347,5.83500480557397e-63,"study_0","Beta"
0.348348348348348,2.58068063156894e-63,"study_0","Beta"
0.349349349349349,1.13930581174235e-63,"study_0","Beta"
0.35035035035035,5.02063136274474e-64,"study_0","Beta"
0.351351351351351,2.20844850373197e-64,"study_0","Beta"
0.352352352352352,9.69674715619082e-65,"study_0","Beta"
0.353353353353353,4.24985031475921e-65,"study_0","Beta"
0.354354354354354,1.85921178270221e-65,"study_0","Beta"
0.355355355355355,8.1187775325599e-66,"study_0","Beta"
0.356356356356356,3.53881479374191e-66,"study_0","Beta"
0.357357357357357,1.53967582591062e-66,"study_0","Beta"
0.358358358358358,6.68657691696783e-67,"study_0","Beta"
0.359359359359359,2.89854676342607e-67,"study_0","Beta"
0.36036036036036,1.25417312673455e-67,"study_0","Beta"
0.361361361361361,5.41669230868125e-68,"study_0","Beta"
0.362362362362362,2.33511947141744e-68,"study_0","Beta"
0.363363363363363,1.00480331123928e-68,"study_0","Beta"
0.364364364364364,4.31567525646578e-69,"study_0","Beta"
0.365365365365365,1.85016696938554e-69,"study_0","Beta"
0.366366366366366,7.91710228546773e-70,"study_0","Beta"
