"P0","MSYR","ROI","P1993","alpha","alpha_status","method"
14627.6,0.0200163,0.0193213,8077.04,0.5,"fixed","MCMC"
12766.8,0.0287803,0.0234173,9214.72,0.5,"fixed","MCMC"
15264.4,0.017948,0.0166795,8645.01,0.5,"fixed","MCMC"
14667.7,0.0198164,0.0194865,7784.81,0.5,"fixed","MCMC"
13426.1,0.0253801,0.0196315,9748.17,0.5,"fixed","MCMC"
12249.1,0.031883,0.0288726,8355.1,0.5,"fixed","MCMC"
13885.6,0.0230948,0.0212144,8597.42,0.5,"fixed","MCMC"
13365.2,0.0255246,0.0232548,8571.98,0.5,"fixed","MCMC"
12216.8,0.0320743,0.0306676,7904.41,0.5,"fixed","MCMC"
14273.8,0.0213933,0.0205523,8129.98,0.5,"fixed","MCMC"
15684,0.0165709,0.0158269,8210.93,0.5,"fixed","MCMC"
14857.1,0.0191394,0.018759,7826.31,0.5,"fixed","MCMC"
13324.4,0.0256258,0.0257314,7492.14,0.5,"fixed","MCMC"
14060.9,0.0222481,0.0216415,7951.63,0.5,"fixed","MCMC"
16256.6,0.0147154,0.0145088,7139.54,0.5,"fixed","MCMC"
13927.8,0.0228529,0.0218116,8182.99,0.5,"fixed","MCMC"
13724.4,0.0236507,0.0242319,7164.49,0.5,"fixed","MCMC"
14174.2,0.0219676,0.019128,9162.94,0.5,"fixed","MCMC"
15246.9,0.0179985,0.0167514,8623.13,0.5,"fixed","MCMC"
14835.9,0.0194197,0.017667,8862.44,0.5,"fixed","MCMC"
13482.8,0.0248291,0.0250553,7422.48,0.5,"fixed","MCMC"
14488.2,0.0206534,0.0189525,8710.28,0.5,"fixed","MCMC"
13665.8,0.0240132,0.0232191,8000.39,0.5,"fixed","MCMC"
14088.7,0.022028,0.0224966,7174.46,0.5,"fixed","MCMC"
13147,0.0265877,0.0255592,8006.37,0.5,"fixed","MCMC"
12790.2,0.0284955,0.0294562,7072.95,0.5,"fixed","MCMC"
14686.4,0.0198483,0.0188034,8343.03,0.5,"fixed","MCMC"
14922.6,0.0189591,0.0182935,8081.83,0.5,"fixed","MCMC"
14333.9,0.0211493,0.0203578,8107.03,0.5,"fixed","MCMC"
16671.3,0.013847,0.0133179,7736.46,0.5,"fixed","MCMC"
18923.3,0.010005,0.00887355,9026.35,0.5,"fixed","MCMC"
13090.1,0.0269739,0.0233116,8928.23,0.5,"fixed","MCMC"
14118.2,0.0218973,0.0224055,7132.47,0.5,"fixed","MCMC"
12709.4,0.0290316,0.0271707,8193.9,0.5,"fixed","MCMC"
15380,0.017344,0.0171371,7578.42,0.5,"fixed","MCMC"
14298.2,0.021427,0.0192152,8917.48,0.5,"fixed","MCMC"
14585.1,0.0201697,0.0195064,8048.63,0.5,"fixed","MCMC"
14866.5,0.0191566,0.0184736,8091.78,0.5,"fixed","MCMC"
14191.9,0.0218165,0.0199396,8704.18,0.5,"fixed","MCMC"
13514.4,0.0248663,0.021256,9131.98,0.5,"fixed","MCMC"
13436.7,0.025171,0.0229923,8563.53,0.5,"fixed","MCMC"
16994.9,0.0132386,0.0124858,8166.69,0.5,"fixed","MCMC"
15281.7,0.0177446,0.017197,7985.93,0.5,"fixed","MCMC"
12253,0.0318142,0.032155,7342.55,0.5,"fixed","MCMC"
15142.4,0.0182912,0.017254,8426.71,0.5,"fixed","MCMC"
14624.8,0.0200811,0.0189666,8378.52,0.5,"fixed","MCMC"
14839.3,0.0192605,0.0185236,8133.41,0.5,"fixed","MCMC"
14151.9,0.0218277,0.0216327,7683.09,0.5,"fixed","MCMC"
13443.9,0.0250598,0.0245137,7839.37,0.5,"fixed","MCMC"
13364.8,0.0255232,0.0233316,8541.54,0.5,"fixed","MCMC"
14724.8,0.0198047,0.0180458,8826.91,0.5,"fixed","MCMC"
16652.1,0.0139705,0.0133287,7998.71,0.5,"fixed","MCMC"
13473.2,0.0249497,0.0237253,8168.98,0.5,"fixed","MCMC"
13729.3,0.0237525,0.0224417,8275.15,0.5,"fixed","MCMC"
13093.9,0.0269722,0.0227599,9096.34,0.5,"fixed","MCMC"
14502,0.0204692,0.0199167,7957.89,0.5,"fixed","MCMC"
13706,0.0237474,0.0241784,7273.73,0.5,"fixed","MCMC"
14592.8,0.0202952,0.0183637,8881.97,0.5,"fixed","MCMC"
12752.1,0.0288368,0.0246548,8901.98,0.5,"fixed","MCMC"
13277.5,0.025948,0.0240381,8400.33,0.5,"fixed","MCMC"
13414.4,0.0254078,0.020282,9559.92,0.5,"fixed","MCMC"
12926.8,0.0277099,0.0288958,6932.44,0.5,"fixed","MCMC"
14110,0.0220653,0.0211879,8124.7,0.5,"fixed","MCMC"
14967.8,0.0187163,0.0185232,7634.72,0.5,"fixed","MCMC"
13242.8,0.0261194,0.024334,8339.94,0.5,"fixed","MCMC"
13615.3,0.0242748,0.0230184,8219.55,0.5,"fixed","MCMC"
16641.5,0.0140954,0.0132784,8329.14,0.5,"fixed","MCMC"
14220,0.0216994,0.0198804,8683.73,0.5,"fixed","MCMC"
13428.7,0.0251013,0.025223,7483.77,0.5,"fixed","MCMC"
13077,0.0270272,0.0238702,8762,0.5,"fixed","MCMC"
12994.3,0.0273924,0.0267771,7802.91,0.5,"fixed","MCMC"
14007.1,0.0224675,0.0219815,7870.54,0.5,"fixed","MCMC"
17745.5,0.0117278,0.0108717,8250.2,0.5,"fixed","MCMC"
14528.4,0.0204004,0.0195923,8147.28,0.5,"fixed","MCMC"
12318.8,0.0314319,0.028575,8343.88,0.5,"fixed","MCMC"
15698.2,0.0167201,0.0152393,8949.12,0.5,"fixed","MCMC"
17371.4,0.0123277,0.0116384,7834.59,0.5,"fixed","MCMC"
15747.6,0.0163409,0.0157516,8024.43,0.5,"fixed","MCMC"
13644.9,0.0241329,0.0229496,8191.75,0.5,"fixed","MCMC"
13963,0.0227611,0.0209009,8614.79,0.5,"fixed","MCMC"
13264.3,0.0261354,0.0210509,9451.55,0.5,"fixed","MCMC"
14259.8,0.0214479,0.0206209,8118.73,0.5,"fixed","MCMC"
13511.1,0.0248099,0.0227044,8561.72,0.5,"fixed","MCMC"
14514.1,0.0203505,0.0203444,7511.29,0.5,"fixed","MCMC"
12760.8,0.0287219,0.0273959,8026.27,0.5,"fixed","MCMC"
16463.3,0.0143786,0.0138431,7829.25,0.5,"fixed","MCMC"
13548.5,0.0245854,0.0234112,8164.17,0.5,"fixed","MCMC"
12202.7,0.0321516,0.0320351,7496.89,0.5,"fixed","MCMC"
14169.1,0.0218315,0.020838,8205.54,0.5,"fixed","MCMC"
12523.9,0.0301282,0.0287403,7983.32,0.5,"fixed","MCMC"
14533.3,0.0203965,0.0194692,8231.55,0.5,"fixed","MCMC"
13174,0.0264962,0.0240707,8555.17,0.5,"fixed","MCMC"
12235.7,0.031969,0.0290731,8320.11,0.5,"fixed","MCMC"
12189.4,0.0322984,0.0272098,8812.78,0.5,"fixed","MCMC"
14550.9,0.0202032,0.0202331,7473.4,0.5,"fixed","MCMC"
13802.3,0.0233639,0.0229508,7807.81,0.5,"fixed","MCMC"
13446.2,0.0250533,0.0243992,7893.4,0.5,"fixed","MCMC"
13129.4,0.0267746,0.0229457,9000,0.5,"fixed","MCMC"
13299.8,0.0257713,0.0254232,7723.65,0.5,"fixed","MCMC"
14850.4,0.019428,0.0172485,9132.37,0.5,"fixed","MCMC"
15941.4,0.0158371,0.0151208,8184.9,0.5,"fixed","MCMC"
12189.4,0.0322984,0.0272098,8812.78,0.5,"fixed","MCMC"
13560.8,0.0244858,0.0240831,7778.9,0.5,"fixed","MCMC"
15448.9,0.0173533,0.0162429,8551.53,0.5,"fixed","MCMC"
14490.7,0.0204928,0.0200968,7837.68,0.5,"fixed","MCMC"
13598.3,0.0242856,0.0242495,7575.65,0.5,"fixed","MCMC"
14077.3,0.0221916,0.0214349,8046.32,0.5,"fixed","MCMC"
16114.9,0.0154757,0.0144642,8568.46,0.5,"fixed","MCMC"
13226.6,0.026177,0.0250611,8061.56,0.5,"fixed","MCMC"
19100.5,0.00936624,0.0083322,8092.33,0.5,"fixed","MCMC"
